dataset,numelements,hash,reducer,nanoseconds_total,nanoseconds_per_key,benchmark_repeat_cnt
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,do_nothing,424031674,2.120158,10
consecutive_200M_uint64,200000000,xxh3_128_upp,branchless_fast_modulo,457777787,2.288889,10
books_200M_uint32,199999999,xxh3_128_xor,fastrange32,487115115,2.435576,10
wiki_ts_200M_uint64,90437011,meow64_low,fast_modulo,2031005858,22.457684,10
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,fastrange32,477109079,2.385545,10
consecutive_200M_uint64,200000000,xxh3_128_xor,do_nothing,426827963,2.134140,10
books_200M_uint32,199999999,xxh3_128_xor,fastrange64,486875300,2.434377,10
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,fastrange64,477879303,2.389397,10
consecutive_200M_uint64,200000000,xxh3_128_xor,fastrange32,477576696,2.387883,10
osm_cellids_200M_uint64,200000000,xxh3_128_xor,modulo,1419343394,7.096717,10
consecutive_200M_uint64,200000000,xxh3_128_xor,fastrange64,477428397,2.387142,10
osm_cellids_200M_uint64,200000000,xxh3_128_xor,fast_modulo,535074946,2.675375,10
books_200M_uint32,199999999,xxh3_128_xor,modulo,1518441659,7.592208,10
wiki_ts_200M_uint64,90437011,meow64_low,branchless_fast_modulo,2044688001,22.608974,10
osm_cellids_200M_uint64,200000000,xxh3_128_xor,branchless_fast_modulo,608632646,3.043163,10
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,modulo,1529374912,7.646875,10
books_200M_uint32,199999999,xxh3_128_xor,fast_modulo,575071195,2.875356,10
osm_cellids_200M_uint64,200000000,xxh3_128_city,do_nothing,591600717,2.958004,10
consecutive_200M_uint64,200000000,xxh3_128_xor,modulo,1514453729,7.572269,10
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,fast_modulo,577467260,2.887336,10
books_200M_uint32,199999999,xxh3_128_xor,branchless_fast_modulo,645842245,3.229211,10
osm_cellids_200M_uint64,200000000,xxh3_128_city,fastrange32,648942273,3.244711,10
consecutive_200M_uint64,200000000,xxh3_128_xor,fast_modulo,580049305,2.900247,10
gapped_1percent_200M_uint64,200000000,xxh3_128_xor,branchless_fast_modulo,645962446,3.229812,10
books_200M_uint32,199999999,xxh3_128_city,do_nothing,629923024,3.149615,10
wiki_ts_200M_uint64,90437011,meow64_upp,do_nothing,1761014091,19.472272,10
osm_cellids_200M_uint64,200000000,xxh3_128_city,fastrange64,651835508,3.259178,10
consecutive_200M_uint64,200000000,xxh3_128_xor,branchless_fast_modulo,656012736,3.280064,10
gapped_1percent_200M_uint64,200000000,xxh3_128_city,do_nothing,628087159,3.140436,10
books_200M_uint32,199999999,xxh3_128_city,fastrange32,697969376,3.489847,10
consecutive_200M_uint64,200000000,xxh3_128_city,do_nothing,627026803,3.135134,10
gapped_1percent_200M_uint64,200000000,xxh3_128_city,fastrange32,697911856,3.489559,10
books_200M_uint32,199999999,xxh3_128_city,fastrange64,695489539,3.477448,10
consecutive_200M_uint64,200000000,xxh3_128_city,fastrange32,699668562,3.498343,10
gapped_1percent_200M_uint64,200000000,xxh3_128_city,fastrange64,694901419,3.474507,10
