hash,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset
murmur3_fin64,450196000,2.25098,1,do_nothing,books_200M_uint32.ds
murmur3_fin64,329583000,1.64792,1,fastrange32,books_200M_uint32.ds
murmur3_fin64,461895000,2.30948,1,fastrange64,books_200M_uint32.ds
murmur3_fin64,1738378000,8.69189,1,modulo,books_200M_uint32.ds
murmur3_fin64,415356000,2.07678,1,fast_modulo,books_200M_uint32.ds
murmur3_fin64,462268000,2.31134,1,branchless_fast_modulo,books_200M_uint32.ds
xxh64,778651000,3.89326,1,do_nothing,books_200M_uint32.ds
xxh64,677555000,3.38778,1,fastrange32,books_200M_uint32.ds
xxh64,812337000,4.06169,1,fastrange64,books_200M_uint32.ds
xxh64,2020469000,10.1023,1,modulo,books_200M_uint32.ds
xxh64,799337000,3.99669,1,fast_modulo,books_200M_uint32.ds
xxh64,870575000,4.35288,1,branchless_fast_modulo,books_200M_uint32.ds
xxh3,718029000,3.59015,1,do_nothing,books_200M_uint32.ds
xxh3,618060000,3.0903,1,fastrange32,books_200M_uint32.ds
xxh3,766001000,3.83001,1,fastrange64,books_200M_uint32.ds
xxh3,1919825000,9.59913,1,modulo,books_200M_uint32.ds
xxh3,707678000,3.53839,1,fast_modulo,books_200M_uint32.ds
xxh3,773478000,3.86739,1,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_low,849433000,4.24717,1,do_nothing,books_200M_uint32.ds
xxh3_128_low,740297000,3.70149,1,fastrange32,books_200M_uint32.ds
xxh3_128_low,852060000,4.2603,1,fastrange64,books_200M_uint32.ds
xxh3_128_low,2096960000,10.4848,1,modulo,books_200M_uint32.ds
xxh3_128_low,842275000,4.21138,1,fast_modulo,books_200M_uint32.ds
xxh3_128_low,905302000,4.52651,1,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_upp,795424000,3.97712,1,do_nothing,books_200M_uint32.ds
xxh3_128_upp,737144000,3.68572,1,fastrange32,books_200M_uint32.ds
xxh3_128_upp,837813000,4.18907,1,fastrange64,books_200M_uint32.ds
xxh3_128_upp,2053889000,10.2694,1,modulo,books_200M_uint32.ds
xxh3_128_upp,833368000,4.16684,1,fast_modulo,books_200M_uint32.ds
xxh3_128_upp,897403000,4.48702,1,branchless_fast_modulo,books_200M_uint32.ds
