dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
wiki_ts_200M_uint64,90437011,0.750000,city128_low,fastrange32,0,9,1.000172,56967496,0.472435,20906691,0.173381,47728517,0.527754,5164843817,57.109847
wiki_ts_200M_uint64,90437011,0.500000,murmur3_128_city,fastrange32,0,9,1.000145,109714325,0.606579,16319874,0.090228,35597188,0.393613,5072977996,56.094048
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_upp,fastrange64,0,7,1.000049,281733631,0.778812,9589654,0.026509,20012252,0.221284,5347008256,59.124115
wiki_ts_200M_uint64,90437011,0.750000,city128_low,fastrange64,0,10,1.000080,56962652,0.472395,20905939,0.173374,47722921,0.527692,4997821151,55.263007
wiki_ts_200M_uint64,90437011,0.500000,murmur3_128_city,fastrange64,0,9,0.999997,109705281,0.606529,16315568,0.090204,35583838,0.393465,5359456824,59.261764
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_upp,fast_modulo,0,7,0.999972,281727127,0.778794,9583347,0.026492,19999441,0.221142,5111545928,56.520509
uniform_dense_200M_uint64,200000000,0.500000,meow64_low,fastrange64,0,9,1.000013,242611168,0.606528,36078535,0.090196,78689703,0.393449,23162533309,115.812667
uniform_dense_200M_uint64,200000000,0.750000,city128_upp,fastrange32,0,10,1.000183,125983681,0.472439,46235529,0.173383,105552544,0.527763,11658286262,58.291431
wiki_ts_200M_uint64,90437011,0.750000,city128_low,fast_modulo,0,9,1.000035,56960448,0.472377,20903648,0.173355,47718426,0.527643,6653302752,73.568362
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_xor,fastrange32,0,7,1.000065,281733595,0.778812,9588155,0.026505,20010717,0.221267,4918035971,54.380789
wiki_ts_200M_uint64,90437011,0.500000,murmur3_128_city,fast_modulo,0,10,0.999942,109702532,0.606513,16312597,0.090188,35578118,0.393402,6741549528,74.544144
uniform_dense_200M_uint64,200000000,0.250000,tabulation_1x255_64,fastrange32,0,9986,4.431454,770208872,0.962761,29791128,0.037239,200000000,1.000000,14283032697,71.415163
wiki_ts_200M_uint64,90437011,0.500000,murmur_finalizer64,fastrange32,0,9,1.000168,109715734,0.606586,16322209,0.090241,35600932,0.393654,2268568133,25.084510
osm_cellids_200M_uint64,200000000,0.250000,city128_xor,fastrange64,0,7,1.000022,623042565,0.778803,21198930,0.026499,44241495,0.221207,17654924308,88.274622
wiki_ts_200M_uint64,90437011,0.750000,city128_upp,fastrange32,0,9,1.000027,56960530,0.472377,20904884,0.173366,47719744,0.527657,4829085715,53.397228
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_xor,fastrange64,0,7,1.000000,281729975,0.778802,9585949,0.026499,20004891,0.221202,5248889672,58.039177
wiki_ts_200M_uint64,90437011,0.500000,murmur_finalizer64,fastrange64,0,9,0.999980,109703470,0.606519,16313457,0.090192,35579916,0.393422,2335048849,25.819615
uniform_dense_200M_uint64,200000000,0.750000,city128_upp,fastrange64,0,9,1.000076,125971817,0.472394,46230408,0.173364,105535559,0.527678,11154446518,55.772233
wiki_ts_200M_uint64,90437011,0.750000,city128_upp,fastrange64,0,9,0.999965,56956447,0.472344,20903097,0.173351,47713874,0.527592,4816056915,53.253163
wiki_ts_200M_uint64,90437011,0.500000,murmur_finalizer64,fast_modulo,0,9,1.000022,109706068,0.606533,16314420,0.090198,35583477,0.393461,3066710286,33.909903
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_xor,fast_modulo,0,7,1.000064,281734490,0.778814,9589820,0.026510,20013277,0.221295,5399838350,59.708280
wiki_ts_200M_uint64,90437011,0.500000,xxh64,fastrange32,0,9,1.000115,109712256,0.606567,16319700,0.090227,35594945,0.393588,3269553571,36.152827
wiki_ts_200M_uint64,90437011,0.750000,city128_upp,fast_modulo,0,9,0.999992,56959601,0.472370,20904189,0.173360,47718120,0.527639,4960935464,54.855146
uniform_dense_200M_uint64,200000000,0.500000,meow64_low,fast_modulo,0,9,1.000022,242616994,0.606542,36085566,0.090214,78702560,0.393513,22292782303,111.463912
wiki_ts_200M_uint64,90437011,0.500000,xxh64,fastrange64,0,8,1.000065,109706747,0.606537,16313098,0.090190,35582834,0.393454,3279741058,36.265474
uniform_dense_200M_uint64,200000000,0.250000,tabulation_1x255_64,fastrange64,0,9980,4.431033,770205329,0.962757,29794671,0.037243,200000000,1.000000,15345915958,76.729580
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_city,fastrange32,0,6,1.000157,281741254,0.778833,9595227,0.026525,20025448,0.221430,5349828801,59.155303
uniform_dense_200M_uint64,200000000,0.750000,city128_upp,fast_modulo,0,10,0.999987,125964581,0.472367,46229701,0.173361,105527616,0.527638,11323006768,56.615034
wiki_ts_200M_uint64,90437011,0.750000,city128_xor,fastrange32,0,10,1.000086,56961049,0.472382,20902106,0.173343,47717485,0.527632,5052773508,55.870638
osm_cellids_200M_uint64,200000000,0.250000,city128_xor,fast_modulo,0,7,1.000026,623045074,0.778806,21202772,0.026503,44247846,0.221239,16877077942,84.385390
wiki_ts_200M_uint64,90437011,0.500000,xxh64,fast_modulo,0,8,1.000005,109704033,0.606522,16313036,0.090190,35580058,0.393424,3915861970,43.299330
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_city,fastrange64,0,7,0.999969,281727816,0.778796,9585253,0.026497,20002036,0.221171,5314164492,58.760948
wiki_ts_200M_uint64,90437011,0.750000,city128_xor,fastrange64,0,11,0.999991,56956987,0.472348,20901253,0.173335,47712570,0.527578,5026144897,55.576194
wiki_ts_200M_uint64,90437011,0.500000,xxh3,fastrange32,0,9,1.000135,109710824,0.606559,16315261,0.090202,35589074,0.393523,2555274335,28.254741
wiki_ts_200M_uint64,90437011,0.500000,xxh3,fastrange64,0,10,0.999988,109705302,0.606529,16315824,0.090205,35584115,0.393468,2526420545,27.935693
wiki_ts_200M_uint64,90437011,0.750000,city128_xor,fast_modulo,0,10,1.000016,56957307,0.472351,20899931,0.173324,47711568,0.527567,5608552133,62.016116
uniform_dense_200M_uint64,200000000,0.750000,city128_xor,fastrange32,0,9,1.000139,125974117,0.472403,46226927,0.173351,105534378,0.527672,11502779304,57.513897
wiki_ts_200M_uint64,90437011,0.250000,murmur3_128_city,fast_modulo,0,7,0.999950,281726777,0.778793,9584604,0.026495,20000348,0.221152,7746686039,85.658360
wiki_ts_200M_uint64,90437011,0.500000,xxh3,fast_modulo,0,8,1.000030,109708205,0.606545,16317971,0.090217,35589165,0.393524,3517558483,38.895121
uniform_dense_200M_uint64,200000000,0.250000,tabulation_1x255_64,fast_modulo,0,9980,4.430715,770199979,0.962750,29800021,0.037250,200000000,1.000000,14946428656,74.732143
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_low,fastrange32,0,9,1.000090,109711682,0.606564,16319942,0.090228,35594613,0.393585,2585720699,28.591399
wiki_ts_200M_uint64,90437011,0.250000,murmur_finalizer64,fastrange32,0,7,1.000132,281739080,0.778827,9593371,0.026519,20021418,0.221385,2417164576,26.727604
wiki_ts_200M_uint64,90437011,0.750000,city128_city,fastrange32,0,9,0.999999,56960749,0.472379,20905976,0.173375,47721055,0.527672,6853016068,75.776676
uniform_dense_200M_uint64,200000000,0.500000,meow64_upp,fastrange32,0,9,1.000427,242664075,0.606660,36106930,0.090267,78771005,0.393855,22638942462,113.194712
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_low,fastrange64,0,8,1.000154,109715258,0.606584,16322000,0.090240,35600247,0.393647,2806266663,31.030069
wiki_ts_200M_uint64,90437011,0.250000,murmur_finalizer64,fastrange64,0,7,1.000025,281731062,0.778805,9586668,0.026501,20006697,0.221222,2362644087,26.124748
