dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,0.750000,fibo64_shift60,branchless_fast_modulo,0,8,0.999128,126834483,0.475629,47469239,0.178010,107637056,0.538185,8332189950,41.660950
books_200M_uint32,199999999,1.000000,fibo_prime64_shift60,branchless_fast_modulo,0,7,0.865546,62579489,0.312897,51411328,0.257057,113990817,0.569954,7631292854,38.156464
books_200M_uint32,199999999,0.750000,fibo_prime64_shift60,fastrange32,0,6,0.867333,111842509,0.419409,40343769,0.151289,85519612,0.427598,8528450576,42.642253
books_200M_uint32,199999999,1.000000,multadd64_shift60,fastrange32,0,7,0.854503,61695885,0.308479,51292071,0.256460,112987956,0.564940,8375183712,41.875919
books_200M_uint32,199999999,0.750000,fibo_prime64_shift60,fastrange64,0,29,3.456133,250000012,0.937500,16666497,0.062499,199999843,0.999999,4508814665,22.544073
books_200M_uint32,199999999,1.000000,multadd64_shift60,fastrange64,0,37,3.967975,187499999,0.937500,12499997,0.062500,199999996,1.000000,5427771933,27.138860
books_200M_uint32,199999999,0.750000,fibo_prime64_shift60,branchless_fast_modulo,0,6,0.887993,114624494,0.429842,42346243,0.158798,90304071,0.451520,7824607815,39.123039
books_200M_uint32,199999999,1.000000,multadd64_shift60,branchless_fast_modulo,0,8,0.970318,72043790,0.360219,53544298,0.267721,125588088,0.627940,9670239300,48.351197
books_200M_uint32,199999999,0.750000,multadd64_shift60,fastrange32,0,6,0.868892,112224858,0.420843,40819395,0.153073,86377587,0.431888,9183211850,45.916059
books_200M_uint32,199999999,1.000000,mult64_rotate4,fastrange32,0,7,0.919047,67490645,0.337453,52708732,0.263544,120199377,0.600997,7020633578,35.103168
books_200M_uint32,199999999,0.750000,multadd64_shift60,fastrange64,0,30,3.460081,250000009,0.937500,16666390,0.062499,199999733,0.999999,6150198015,30.750990
books_200M_uint32,199999999,1.000000,mult64_rotate4,fastrange64,0,7,0.901848,66178953,0.330895,52716411,0.263582,118895364,0.594477,6494688249,32.473441
books_200M_uint32,199999999,1.000000,mult64_rotate4,branchless_fast_modulo,0,8,0.885299,64223809,0.321119,51658034,0.258290,115881843,0.579409,8222566336,41.112832
books_200M_uint32,199999999,0.750000,multadd64_shift60,branchless_fast_modulo,0,7,0.960788,123090914,0.461591,46556013,0.174585,102980261,0.514901,10603257788,53.016289
books_200M_uint32,199999999,1.000000,fibo64_rotate4,fastrange32,0,12,1.559767,126095669,0.630478,56735859,0.283679,182831528,0.914158,8683509917,43.417550
books_200M_uint32,199999999,0.750000,mult64_rotate4,fastrange32,0,6,0.898267,115395070,0.432732,42236666,0.158387,90965070,0.454825,9159566392,45.797832
