dataset,numelements,load_factor,bucket_size,hashtable,hash,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
osm_cellids_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,76070318636,380.351593,65017626735,325.088134,65019017736,325.095089,0.0,0.614008,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45711641694,228.558208,49695666092,248.478330,49703613533,248.518068,0.0,0.614008,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,76931491258,384.657456,66397029455,331.985147,66379964927,331.899825,0.0,0.614008,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,46277769621,231.388848,50546624161,252.733121,50368138705,251.840694,0.0,0.614000,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,77777354399,388.886772,68806974034,344.034870,68567394848,342.836974,0.0,0.614000,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46265022241,231.325111,49661295910,248.306480,49551481227,247.757406,0.0,0.613998,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,76354830302,381.774152,65208131113,326.040656,65218099116,326.090496,0.0,0.613998,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46106898647,230.534493,49960444021,249.802220,49772095384,248.860477,0.0,0.613998,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,46330943028,231.654715,49052316652,245.261583,49054374521,245.271873,0.0,0.613994,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,75062538844,375.312694,64232281455,321.161407,64228032326,321.140162,0.0,0.613994,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44592393491,222.961967,48485409926,242.427050,48486310319,242.431552,0.0,0.613987,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,74418110024,372.090550,63585108038,317.925540,63581553097,317.907765,0.0,0.613987,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45463182495,227.315912,48710536938,243.552685,48713190012,243.565950,0.0,0.613983,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,75966967413,379.834837,64694607067,323.473035,64657126410,323.285632,0.0,0.613983,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,45737504003,228.687520,48357986227,241.789931,48360948409,241.804742,0.0,0.613982,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,74365517717,371.827589,63356770488,316.783852,63365296750,316.826484,0.0,0.613982,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,44776811622,223.884058,48910274249,244.551371,48865060566,244.325303,0.0,0.613981,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,74998532850,374.992664,63389481503,316.947408,63392659204,316.963296,0.0,0.613981,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44087534008,220.437670,47712926996,238.564635,47716909593,238.584548,0.0,0.613981,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,73646512725,368.232564,63457517165,317.287586,63507436853,317.537184,0.0,0.613981,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46142711161,230.713556,49803473524,249.017368,49804164091,249.020820,0.0,0.613965,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,77481676809,387.408384,66984026670,334.920133,66506826796,332.534134,0.0,0.613965,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44234372882,221.171864,48289270649,241.446353,48322882973,241.614415,0.0,0.613964,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,73401076360,367.005382,63035826822,315.179134,62876622391,314.383112,0.0,0.613964,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,19606733262,216.799881,21729725701,240.274700,21726788521,240.242223,0.0,0.613952,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,31744726464,351.014768,26144220303,289.087620,26140011782,289.041085,0.0,0.613952,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44366790776,221.833954,48611809740,243.059049,48610143621,243.050718,0.0,0.613940,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,74133153773,370.665769,63892614531,319.463073,63891129741,319.455649,0.0,0.613940,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44217633741,221.088169,48125483785,240.627419,48067532203,240.337661,0.0,0.613912,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,73396423021,366.982115,63197298689,315.986493,62899971765,314.499859,0.0,0.613912,,,,,,,,
