dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,0,33,0.919165,607639527,0.759549,6478083,0.008098,14117613,0.070588,892494501,4.462473,17154667831,85.773340,1281625289,6.408126,77659987056,388.299937,96988774677,484.943876
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.001000,0,2016,0.937190,608650109,0.760813,7434596,0.009293,16084708,0.080424,16662555,0.083313,9573336,0.047867,1361188,0.006806,18534242715,92.671214,18561839794,92.809199
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.010000,0,704,0.926170,608548315,0.760685,7379294,0.009224,15927612,0.079638,155392273,0.776961,108928464,0.544642,14384058,0.071920,21975269031,109.876346,22253973826,111.269870
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,0,84,0.925234,608626533,0.760783,7434789,0.009293,16061325,0.080307,2036345203,10.181726,1281364882,6.406824,122999401,0.614997,32375500663,161.877504,35816210149,179.081052
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,0,33,0.919165,607639527,0.759549,6478083,0.008098,14117613,0.070588,640732437,3.203662,15627364065,78.136821,1318183027,6.590915,57786699036,288.933497,75372978565,376.864895
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,0,2016,0.937154,608642037,0.760803,7425519,0.009282,16067559,0.080338,34997882,0.174989,10338322,0.051692,2096905,0.010485,26648841735,133.244209,26696274844,133.481375
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.010000,0,704,0.926164,608547201,0.760684,7378178,0.009223,15925382,0.079627,159001115,0.795006,121888651,0.609443,19217626,0.096088,23943460573,119.717303,24243567965,121.217840
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.100000,0,84,0.925235,608626626,0.760783,7434845,0.009294,16061474,0.080307,2696033105,13.480166,1543215092,7.716075,175025384,0.875127,30040007481,150.200038,34454281062,172.271406
books_200M_uint32,199999999,0.250000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,0,33,0.919165,607639531,0.759549,6478080,0.008098,14117614,0.070588,680212494,3.401062,20446274457,102.231373,1848434630,9.242173,43114611713,215.573060,66089533294,330.447668
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.001000,0,54581,4.035051,642851276,0.803564,28433691,0.035542,71284970,0.356425,16084711,0.080424,8911065,0.044555,1464919,0.007325,21011583775,105.057919,21038044470,105.190223
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.010000,0,2573,1.033197,622463860,0.778080,17593769,0.021992,40057632,0.200288,159694917,0.798475,107815276,0.539076,9141713,0.045709,23897506759,119.487534,24174158665,120.870794
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,0,656,0.925596,608502872,0.760629,7329248,0.009162,15832123,0.079161,2035179017,10.175895,1360025368,6.800127,93796624,0.468983,28903167021,144.515836,32392168030,161.960841
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,0,138,0.922759,608198144,0.760248,7044665,0.008806,15242812,0.076214,689546616,3.447733,17806310082,89.031551,755794705,3.778974,37901871336,189.509358,57153522739,285.767615
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.001000,0,54581,4.035051,642851276,0.803564,28433691,0.035542,71284970,0.356425,16505918,0.082530,8994402,0.044972,1974643,0.009873,23759852128,118.799261,23787327091,118.936636
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.010000,0,2573,1.033197,622463860,0.778080,17593769,0.021992,40057632,0.200288,164110815,0.820554,112156148,0.560781,8102793,0.040514,22195025501,110.975128,22479395257,112.396977
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,0,656,0.925596,608502872,0.760629,7329248,0.009162,15832123,0.079161,1677872407,8.389362,1311927102,6.559636,89488267,0.447441,21038390015,105.191951,24117677791,120.588390
