dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec1,clamp,0.001000,0,4,0.774909,91612608,0.343547,15866264,0.059498,40812206,0.204061,269399885,1.346999,12038088,0.060190,5359939,0.026800,14734870581,73.674353,15021668493,75.108342
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec1,clamp,0.010000,0,5,0.856124,107597498,0.403491,33613301,0.126050,74544133,0.372721,586096090,2.930480,139576046,0.697880,47376807,0.236884,15550681338,77.753407,16323730281,81.618651
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec1,clamp,0.001000,0,233720,16.537012,25062801,0.125314,15807835,0.079039,40870636,0.204353,392529306,1.962647,11994624,0.059973,5279000,0.026395,19969637545,99.848188,20379440475,101.897202
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec1,clamp,0.100000,0,1601,0.247377,4835622,0.024178,4829314,0.024147,9664936,0.048325,2929555543,14.647778,1623937270,8.119686,165410290,0.827051,17962216226,89.811081,22681119329,113.405597
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec1,clamp,0.100000,0,4,0.546249,71500738,0.268128,4829363,0.018110,9663435,0.048317,2749611930,13.748060,1624075383,8.120377,118788181,0.593941,20625527670,103.127638,25118003164,125.590016
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec4,clamp,1.000000,0,4,0.744853,89089197,0.334084,14365005,0.053869,36787536,0.183938,531061258,2.655306,18844468024,94.222340,2502914396,12.514572,15049575719,75.247879,36928019397,184.640097
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec1,clamp,0.001000,0,5,0.753783,89593973,0.335977,14453083,0.054199,37380390,0.186902,269399885,1.346999,12038088,0.060190,4901775,0.024509,13604179525,68.020898,13890519273,69.452596
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec1,clamp,0.010000,0,12194,0.932854,12654975,0.063275,12604573,0.063023,25259548,0.126298,627656494,3.138282,143665481,0.718327,40515709,0.202579,17071861386,85.359307,17883699070,89.418495
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec1,clamp,0.001000,0,99084,7.028879,22976848,0.114884,14428313,0.072142,37405161,0.187026,392529306,1.962647,11994624,0.059973,4031015,0.020155,14246522720,71.232614,14655077665,73.275388
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec4,clamp,1.000000,0,129,0.552167,22422595,0.112113,14364974,0.071825,36787569,0.183938,523092563,2.615463,19207930380,96.039652,2598784420,12.993922,21621414882,108.107074,43951222245,219.756111
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec1,clamp,0.010000,0,4,0.613850,79309626,0.297411,12604750,0.047268,25247710,0.126239,586096090,2.930480,139576046,0.697880,54429983,0.272150,17170943719,85.854719,17951045838,89.755229
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec0,clamp,0.001000,0,4,0.774909,91612608,0.343547,15866264,0.059498,40812206,0.204061,269399885,1.346999,12038088,0.060190,4005181,0.020026,13339105293,66.695526,13624548447,68.122742
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec1,clamp,1.000000,0,4,0.744945,89101721,0.334131,14376953,0.053914,36812008,0.184060,531061258,2.655306,18844468024,94.222340,2000899948,10.004500,12985734315,64.928672,34362163545,171.810818
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec0,clamp,0.010000,0,23663,1.811723,40942662,0.204713,33607386,0.168037,74550048,0.372750,627656494,3.138282,143665481,0.718327,29226956,0.146135,13301770551,66.508853,14102319482,70.511597
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec0,clamp,0.001000,0,233720,16.537012,25062801,0.125314,15807835,0.079039,40870636,0.204353,392529306,1.962647,11994624,0.059973,4220078,0.021100,14445528725,72.227644,14854272733,74.271364
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec1,clamp,0.100000,0,1082,0.143420,1470503,0.007353,1466746,0.007334,2937249,0.014686,2929555543,14.647778,1623937270,8.119686,158143887,0.790719,23264667509,116.323338,27976304209,139.881521
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec0,clamp,0.010000,0,5,0.856124,107597498,0.403491,33613301,0.126050,74544133,0.372721,586096090,2.930480,139576046,0.697880,41034068,0.205170,13273980573,66.369903,14040686777,70.203434
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec1,clamp,0.100000,0,4,0.514510,68136088,0.255510,1466745,0.005500,2936167,0.014681,2749611930,13.748060,1624075383,8.120377,132085368,0.660427,22362073021,111.810365,26867845702,134.339229
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec1,clamp,1.000000,0,257,0.552513,22435183,0.112176,14376890,0.071884,36812073,0.184060,523092563,2.615463,19207930380,96.039652,2119056337,10.595282,15640893327,78.204467,37490972607,187.454863
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec0,clamp,0.001000,0,5,0.753783,89593973,0.335977,14453083,0.054199,37380390,0.186902,269399885,1.346999,12038088,0.060190,5641100,0.028205,15043269917,75.216350,15330348990,76.651745
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec0,clamp,0.010000,0,12194,0.932854,12654975,0.063275,12604573,0.063023,25259548,0.126298,627656494,3.138282,143665481,0.718327,56908659,0.284543,14504752617,72.523763,15332983251,76.664916
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec1,clamp,1.000000,0,4,0.744853,89089197,0.334084,14365005,0.053869,36787536,0.183938,531061258,2.655306,18844468024,94.222340,2132769735,10.663849,13996604323,69.983022,35504903340,177.524517
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec0,clamp,0.001000,0,99084,7.028879,22976848,0.114884,14428313,0.072142,37405161,0.187026,392529306,1.962647,11994624,0.059973,5749272,0.028746,13900577225,69.502886,14310850427,71.554252
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec0,clamp,0.100000,0,1601,0.247377,4835622,0.024178,4829314,0.024147,9664936,0.048325,2929555543,14.647778,1623937270,8.119686,125040268,0.625201,18141078229,90.705391,22819611310,114.098057
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec0,clamp,0.010000,0,4,0.613850,79309626,0.297411,12604750,0.047268,25247710,0.126239,586096090,2.930480,139576046,0.697880,26345703,0.131729,16876153470,84.380767,17628171309,88.140857
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec0,clamp,0.100000,0,4,0.546249,71500738,0.268128,4829363,0.018110,9663435,0.048317,2749611930,13.748060,1624075383,8.120377,102071250,0.510356,18314215865,91.571079,22789974428,113.949872
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec1,clamp,1.000000,0,129,0.552167,22422595,0.112113,14364974,0.071825,36787569,0.183938,523092563,2.615463,19207930380,96.039652,1976845579,9.884228,17978959559,89.894798,39686828081,198.434140
consecutive_200M_uint64,200000000,0.500000,radix_spline_err32_rbits18,clamp,0.001000,0,2,0.722265,202166719,0.505417,2166719,0.005417,4333438,0.021667,591172137,2.955861,11921454,0.059607,142232336,0.711162,12742948627,63.714743,13488274554,67.441373
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec0,clamp,1.000000,0,4,0.744945,89101721,0.334131,14376953,0.053914,36812008,0.184060,531061258,2.655306,18844468024,94.222340,2273084310,11.365422,13905147803,69.525739,35553761395,177.768807
consecutive_200M_uint64,200000000,0.500000,radix_spline_err32_rbits18,clamp,0.010000,0,2,0.722899,202258351,0.505646,2258351,0.005646,4516702,0.022584,589280812,2.946404,149878256,0.749391,23315834,0.116579,15147575326,75.737877,15910050228,79.550251
consecutive_200M_uint64,200000000,0.500000,radix_spline_err32_rbits18,clamp,0.100000,0,2,0.722922,202261638,0.505654,2261638,0.005654,4523276,0.022616,2238571772,11.192859,2029365973,10.146830,220473913,1.102370,13991483168,69.957416,18479894826,92.399474
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec0,clamp,0.100000,0,1082,0.143420,1470503,0.007353,1466746,0.007334,2937249,0.014686,2929555543,14.647778,1623937270,8.119686,148913327,0.744567,24090169941,120.450850,28792576081,143.962880
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec0,clamp,1.000000,0,257,0.552513,22435183,0.112176,14376890,0.071884,36812073,0.184060,523092563,2.615463,19207930380,96.039652,2190159484,10.950797,16515576993,82.577885,38436759420,192.183797
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec4,clamp,0.001000,0,4,0.922217,224945942,0.562365,15866264,0.039666,40812206,0.204061,591172137,2.955861,11921454,0.059607,5665610,0.028328,13574369654,67.871848,14183128855,70.915644
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec0,clamp,0.100000,0,4,0.514510,68136088,0.255510,1466745,0.005500,2936167,0.014681,2749611930,13.748060,1624075383,8.120377,162782116,0.813911,25074397761,125.371989,29610867190,148.054336
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps128_epsrec0,clamp,1.000000,0,4,0.744853,89089197,0.334084,14365005,0.053869,36787536,0.183938,531061258,2.655306,18844468024,94.222340,2014290223,10.071451,14973703910,74.868520,36363523415,181.817617
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec4,clamp,0.010000,0,5,0.991437,240930832,0.602327,33613301,0.084033,74544133,0.372721,589280812,2.946404,149878256,0.749391,32457987,0.162290,16938769253,84.693846,17710386308,88.551932
consecutive_200M_uint64,200000000,0.500000,radix_spline_err32_rbits18,clamp,1.000000,0,1,0.707107,200000000,0.500000,0,0.000000,0,0.000000,1378274912,6.891375,22327811657,111.639058,2392436486,11.962182,10561672808,52.808364,36660195863,183.300979
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps128_epsrec0,clamp,1.000000,0,129,0.552167,22422595,0.112113,14364974,0.071825,36787569,0.183938,523092563,2.615463,19207930380,96.039652,1981276428,9.906382,13604097495,68.020487,35316396866,176.581984
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec4,clamp,0.001000,0,5,0.904538,222927307,0.557318,14453083,0.036133,37380390,0.186902,591172137,2.955861,11921454,0.059607,12776214,0.063881,14585346575,72.926733,15201216380,76.006082
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec4,clamp,0.100000,0,4,0.740532,204834072,0.512085,4829363,0.012073,9663435,0.048317,2238571772,11.192859,2029365973,10.146830,137061646,0.685308,17100605229,85.503026,21505604620,107.528023
consecutive_200M_uint64,200000000,0.250000,radix_spline_err32_rbits18,clamp,0.001000,0,2,0.878446,602166719,0.752708,2166719,0.002708,4333438,0.021667,1581132836,7.905664,11959743,0.059799,2591649,0.012958,10669060359,53.345302,12264744587,61.323723
consecutive_200M_uint64,200000000,0.250000,radix_spline_err32_rbits18,clamp,0.010000,0,2,0.878967,602258351,0.752823,2258351,0.002823,4516702,0.022584,519112214,2.595561,157895270,0.789476,25891268,0.129456,10717663471,53.588317,11420562223,57.102811
consecutive_200M_uint64,200000000,0.250000,radix_spline_err32_rbits18,clamp,0.100000,0,2,0.878986,602261638,0.752827,2261638,0.002827,4523276,0.022616,2106477059,10.532385,1738121746,8.690609,218600464,1.093002,11694375010,58.471875,15757574279,78.787871
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec4,clamp,0.010000,0,4,0.791714,212642960,0.531607,12604750,0.031512,25247710,0.126239,589280812,2.946404,149878256,0.749391,22241369,0.111207,18707482830,93.537414,19468883267,97.344416
