dataset,numelements,load_factor,sample_size,bucket_size,hashtable,model,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
consecutive_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37185578225,185.927891,46570033325,232.850167,46534276149,232.671381,0.000000,0.996225,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,65468975195,327.344876,60767242355,303.836212,60714606500,303.573033,0.000000,0.996225,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,,,,,,,0.000000,,,,,,,,,
fb_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,,,,,,,0.000000,,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,51002975545,255.014878,55335622951,276.678115,55348891334,276.744457,0.000000,0.690694,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,78459002907,392.295015,73004185604,365.020928,73019384077,365.096920,0.000000,0.690694,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,43836688044,219.183440,50889039535,254.445198,50880729068,254.403645,0.000000,0.939031,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,74665123663,373.325618,67463827603,337.319138,67434978847,337.174894,0.000000,0.939031,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,52361631656,261.808158,55838699866,279.193499,55728436318,278.642182,0.000000,0.689387,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,80687473247,403.437366,72705611879,363.528059,72689128573,363.445643,0.000000,0.689387,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,45703865092,228.519325,51391530682,256.957653,51405908280,257.029541,0.000000,0.937134,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,75750069879,378.750349,66176095757,330.880479,66174761704,330.873809,0.000000,0.937134,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,49942993487,249.714967,54220298674,271.101493,54148892803,270.744464,0.000000,0.689387,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,79469831894,397.349159,70704368875,353.521844,70720756977,353.603785,0.000000,0.689387,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,44433974387,222.169872,49753211322,248.766057,49799600219,248.998001,0.000000,0.937134,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,74273512936,371.367565,65049940892,325.249704,64996307332,324.981537,0.000000,0.937134,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,47252389485,236.261947,54494917380,272.474587,54467208860,272.336044,0.000000,0.719871,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,72152759222,360.763796,72046450467,360.232252,72077862390,360.389312,0.000000,0.719871,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,38910551017,194.552755,49010973025,245.054865,48924503550,244.622518,0.000000,0.965289,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,68588012197,342.940061,65751345585,328.756728,65726756742,328.633784,0.000000,0.965289,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,46515847315,232.579237,54631752527,273.158763,54533275225,272.666376,0.000000,0.718697,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,74161754042,370.808770,71448827881,357.244139,71440278402,357.201392,0.000000,0.718697,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,40546500693,202.732503,49853871232,249.269356,49860337359,249.301687,0.000000,0.963058,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,68918441243,344.592206,64562161305,322.810807,64538935159,322.694676,0.000000,0.963058,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,44952862260,224.764311,53317010674,266.585053,53233624657,266.168123,0.000000,0.718697,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,73161539709,365.807699,69615823797,348.079119,69617944778,348.089724,0.000000,0.718697,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,39254433471,196.272167,48244438681,241.222193,48217305067,241.086525,0.000000,0.963058,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,67849870343,339.249352,63197125909,315.985630,63245663130,316.228316,0.000000,0.963058,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,50455048209,252.275241,55105433051,275.527165,55111133085,275.555665,0.000000,0.701259,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,77405363903,387.026820,72643197706,363.215989,72672230695,363.361153,0.000000,0.701259,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,37836991150,189.184956,47728187569,238.640938,47739981489,238.699907,0.000000,0.986278,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,67644227197,338.221136,63839024446,319.195122,63823209032,319.116045,0.000000,0.986278,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,51257401259,256.287006,55595561540,277.977808,55520014559,277.600073,0.000000,0.700836,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,79812310872,399.061554,72335156080,361.675780,72339036923,361.695185,0.000000,0.700836,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,39318738384,196.593692,48292944963,241.464725,48232352807,241.161764,0.000000,0.991415,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,67407820832,337.039104,62136373075,310.681865,62091113537,310.455568,0.000000,0.991415,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,49407851999,247.039260,54052850506,270.264253,54070208098,270.351040,0.000000,0.700836,,,,,,,,
