dataset,numelements,load_factor,sample_size,bucket_size,hashtable,model,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,40813614885,204.068074,50288939979,251.444700,50262575747,251.312879,,0.963027,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,70781692426,353.908462,65866296116,329.331481,65770255516,328.851278,,0.963027,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,38966544056,194.832720,48719396867,243.596984,48691120073,243.455600,,0.963027,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,69586652945,347.933265,64615902510,323.079513,64554226334,322.771132,,0.963027,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,40089139691,200.445698,48776051418,243.880257,48639994795,243.199974,,0.991414,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,69554948161,347.774741,63611706361,318.058532,63644333957,318.221670,,0.991414,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37874943788,189.374719,46992798318,234.963992,46929543576,234.647718,,0.991414,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,67983842305,339.919212,62162939445,310.814697,62122436661,310.612183,,0.991414,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,38765315514,193.826578,48454108055,242.270540,48432136355,242.160682,,0.996123,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,68487250680,342.436253,63472381314,317.361907,63465516667,317.327583,,0.996123,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37103336166,185.516681,46837944851,234.189724,46782370887,233.911854,,0.996123,,,,,,,,
