dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,1572981121,7.864906,1636907704,8.184539,84737600,0.423688,16650475623,83.252378,19945102048,99.725510,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,1542350008,7.711750,1634975922,8.174880,113339496,0.566697,18768857686,93.844289,22059523112,110.297616,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,1542350008,7.711750,1634975922,8.174880,63409715,0.317049,7898457720,39.492289,11139193365,55.695967,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.010000,159776367,0.798882,138392302,0.691962,28304104,0.141521,15699064577,78.495323,16025537350,80.127687,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,1542350008,7.711750,1634975922,8.174880,68041846,0.340209,12534627194,62.673136,15779994970,78.899975,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,1568177138,7.840886,1643586532,8.217933,102331921,0.511660,28101718212,140.508591,31415813803,157.079069,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,1572981121,7.864906,1636907704,8.184539,106067049,0.530335,28406766836,142.033834,31722722710,158.613614,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.010000,159776367,0.798882,138392302,0.691962,30183285,0.150916,19782372326,98.911862,20110724280,100.553621,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,1094534522,5.472673,4073033525,20.365168,24878411754,124.392059,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,513377112,2.566886,4064484463,20.322422,24070778744,120.353894,10
