dataset,numelements,model,reducer,sample_size,model_count,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,101894549,0.509473,14825164715,74.125824,17856331284,89.281657,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,48959390,0.244797,5902743223,29.513716,8880974633,44.404873,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.010000,,155869006,0.779345,139582796,0.697914,8975118,0.044876,9828650603,49.143253,10133077523,50.665388,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,,1209665192,6.048326,1734995366,8.674977,95307253,0.476536,14345875612,71.729378,17385843423,86.929217,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,,1327217017,6.636085,1730222916,8.651115,90140570,0.450703,14553982160,72.769911,17701562663,88.507813,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,49905836,0.249529,8759378669,43.796894,11738556525,58.692783,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,,1209665192,6.048326,1734995366,8.674977,47182810,0.235914,7204814202,36.024071,10196657570,50.983288,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.010000,,155869006,0.779345,139582796,0.697914,8789103,0.043946,11371819662,56.859098,11676060567,58.380303,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,,1327217017,6.636085,1730222916,8.651115,48576952,0.242885,7166564140,35.832821,10272581025,51.362905,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,66437396,0.332187,11576947431,57.884737,14572656847,72.863285,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,,1209665192,6.048326,1734995366,8.674977,54566736,0.272834,10501598697,52.507993,13500825991,67.504130,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,,1327217017,6.636085,1730222916,8.651115,51274485,0.256372,10462119314,52.310597,13570833732,67.854169,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.010000,,155869006,0.779345,139582796,0.697914,8481407,0.042407,14388140984,71.940705,14692074193,73.460371,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,100012994,0.500065,16885561885,84.427810,19914846899,99.574235,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,,1209665192,6.048326,1734995366,8.674977,61125609,0.305628,16005208744,80.026044,19010994911,95.054975,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,,1327217017,6.636085,1730222916,8.651115,62336285,0.311681,16022069383,80.110347,19141845601,95.709228,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.010000,,155869006,0.779345,139582796,0.697914,12173224,0.060866,17599536341,87.997682,17907161367,89.535807,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,53159482,0.265797,8003423287,40.017117,10985854789,54.929274,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,71152187,0.355761,10990888910,54.954445,14268749433,71.343747,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,55659751,0.278299,11113204885,55.566025,14098136656,70.490684,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,,1209665192,6.048326,1734995366,8.674977,86351858,0.431759,27190128971,135.950645,30221141387,151.105707,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,,1327217017,6.636085,1730222916,8.651115,90803660,0.454018,26709228195,133.546141,29857471788,149.287359,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,77245819,0.386229,14496466121,72.482331,17780420276,88.902101,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,940577271,4.702886,3759675325,18.798377,25297456047,126.487280,10
